"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV"
63,46,343287,5,0,20160219,20170217,20191111,20210219,11442,5721,31901,1,61,0,0,44,21672,0,1,2,3,52,8,0,1,47
45,49,648438,6,0,20151218,20151218,20191206,20201218,0,10807,67488,1,49,1,2,49,23131,1,0,2,4,0,8,0,1,49
18,44,336649,6,0,20150320,20151016,20181010,20200320,5610,5610,19966,1,45,1,2,43,21654,1,0,2,3,30,8,0,1,45
126,37,242085,1,0,20150619,20150918,20180502,20200619,32272,4034,26828,0,29,1,2,29,18328,0,0,1,3,13,8,0,1,44
26,14,58182,1,0,20150619,20160115,20160706,20200619,6783,2000,6690,0,24,1,2,7,7225,0,0,1,0,30,9,0,1,20
5,44,300269,1,0,20151218,20160715,20190725,20201218,5004,5004,25706,1,45,1,2,43,20944,1,0,1,3,30,8,0,1,45
28,40,351711,0,0,20150821,20160715,20181121,20200821,58610,5861,37288,0,31,0,0,30,19479,0,0,0,0,47,9,0,1,43
50,27,88045,1,0,20150220,20161021,20170424,20200220,11736,2000,9907,0,27,1,2,19,13781,1,0,1,0,87,8,1,1,30
50,38,200187,5,0,20161021,20170721,20191001,20211021,30024,3336,15019,0,42,0,0,29,17661,1,0,2,3,39,8,0,1,39
97,56,638202,0,1,20170915,20200821,20220412,20220915,21272,10636,35373,1,39,0,0,54,24242,0,0,0,2,153,8,0,1,57
50,9,54807,1,0,20151120,20160415,20160712,20201120,9130,2000,3294,0,33,1,2,1,4610,0,0,1,3,21,9,0,1,19
114,59,274712,0,0,20150220,20151218,20200313,20200220,9156,4578,26429,1,26,0,0,57,29646,0,0,0,3,43,9,1,1,60
